 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2968	MD10_SEM-ECS_2021.03.24_s0:0626-2012:3	6638.333	175.978	7.872	171	158	242	0.795	175	3	1.366	0.732	0.921	221.527	72.903	164.144
2969	MD10_SEM-ECS_2021.03.24_s0:0627-2020:3	3866.728	236.159	18.746	234	199	364	0.621	234	3	2.900	0.345	0.938	274.460	118.088	112.481
2970	MD10_SEM-ECS_2021.03.24_s0:0628-2018:3	10018.340	190.640	9.332	191	167	260	0.693	190	3	2.117	0.472	0.944	228.257	73.771	213.153
2971	MD10_SEM-ECS_2021.03.24_s0:0629-2019:3	7239.974	181.541	10.042	178	159	228	0.687	179	3	2.083	0.480	0.899	198.691	64.495	117.971
2972	MD10_SEM-ECS_2021.03.24_s0:0630-2016:3	1642.683	269.099	38.846	245	220	533	0.802	261	3	1.678	0.596	0.922	262.000	43.446	15.416
2973	MD10_SEM-ECS_2021.03.24_s0:0631-2030:3	9883.140	215.962	18.937	207	174	311	0.720	212	3	1.879	0.532	0.899	240.991	92.776	196.997
2974	MD10_SEM-ECS_2021.03.24_s0:0632-2031:3	3123.126	224.429	35.665	195	173	449	0.699	220	3	2.098	0.477	0.929	291.253	178.705	54.803
2975	MD10_SEM-ECS_2021.03.24_s0:0633-2035:3	4826.650	194.908	37.578	190	169	649	0.760	190	3	1.657	0.604	0.925	287.960	178.272	35.373
2976	MD10_SEM-ECS_2021.03.24_s0:0634-2027:3	1865.764	175.275	28.777	129	128	236	0.757	182	3	1.173	0.853	0.875	171.441	30.302	17.634
2977	MD10_SEM-ECS_2021.03.24_s0:0635-2040:3	4062.768	182.539	6.470	179	163	205	0.543	182	3	3.106	0.322	0.890	198.748	54.983	105.998
2978	MD10_SEM-ECS_2021.03.24_s0:0636-2038:3	5773.052	278.821	32.470	253	228	483	0.842	269	3	1.145	0.874	0.947	330.518	123.265	21.826
2979	MD10_SEM-ECS_2021.03.24_s0:0637-2043:3	6604.533	260.222	38.847	213	192	396	0.645	257	3	2.022	0.495	0.819	320.840	139.142	46.382
