 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1073	MD14_SEM_Sam31-ECS_2021.03.24_s0:0285-1110:3	13229.346	294.571	33.356	270	223	454	0.728	290	3	1.237	0.808	0.901	359.184	96.963	100.018
1074	MD14_SEM_Sam31-ECS_2021.03.24_s0:0286-1111:3	12891.346	224.017	22.997	205	188	343	0.721	219	3	1.158	0.864	0.899	305.019	79.283	106.558
1075	MD14_SEM_Sam31-ECS_2021.03.24_s0:0287-1096:3	2264.605	137.496	9.800	134	130	232	0.586	134	3	2.923	0.342	0.859	185.973	97.383	74.669
1076	MD14_SEM_Sam31-ECS_2021.03.24_s0:0288-1110:3	7828.096	426.631	53.733	382	311	657	0.716	421	3	1.447	0.691	0.919	535.337	143.332	79.092
1077	MD14_SEM_Sam31-ECS_2021.03.24_s0:0289-1113:3	8436.497	290.204	18.409	280	248	399	0.707	288	3	1.207	0.828	0.906	342.859	76.802	181.904
1078	MD14_SEM_Sam31-ECS_2021.03.24_s0:0290-1120:3	20219.200	213.860	22.957	199	172	518	0.580	209	3	1.977	0.506	0.883	245.907	59.320	35.074
1079	MD14_SEM_Sam31-ECS_2021.03.24_s0:0291-1125:3	14263.629	280.928	27.950	271	159	501	0.710	279	3	1.258	0.795	0.924	361.329	137.638	60.025
1080	MD14_SEM_Sam31-ECS_2021.03.24_s0:0292-1116:3	5948.812	261.773	27.536	246	192	446	0.607	258	3	1.279	0.782	0.812	348.359	114.687	149.408
1081	MD14_SEM_Sam31-ECS_2021.03.24_s0:0293-1125:3	12384.345	234.760	22.494	214	196	378	0.781	230	3	1.413	0.708	0.926	312.284	109.112	108.455
1082	MD14_SEM_Sam31-ECS_2021.03.24_s0:0294-1118:3	11485.263	333.623	77.934	273	250	983	0.707	308	3	1.800	0.556	0.918	559.137	236.313	50.692
1083	MD14_SEM_Sam31-ECS_2021.03.24_s0:0295-1116:3	8639.297	250.034	21.689	236	167	464	0.799	245	3	1.417	0.706	0.941	253.442	61.079	29.150
1084	MD14_SEM_Sam31-ECS_2021.03.24_s0:0296-1104:3	892.322	136.417	4.511	134	132	159	0.884	135	3	1.442	0.694	0.974	171.821	51.711	52.212
1085	MD14_SEM_Sam31-ECS_2021.03.24_s0:0297-1125:3	9653.299	486.936	67.841	455	392	1005	0.827	469	3	1.355	0.738	0.950	583.515	148.409	106.983
1086	MD14_SEM_Sam31-ECS_2021.03.24_s0:0298-1117:3	8524.377	230.700	33.490	204	185	452	0.634	221	3	2.246	0.445	0.939	331.351	99.831	104.056
1087	MD14_SEM_Sam31-ECS_2021.03.24_s0:0299-1124:3	7402.215	282.809	40.399	276	207	438	0.787	279	3	1.334	0.749	0.929	327.209	85.060	70.107
1088	MD14_SEM_Sam31-ECS_2021.03.24_s0:0300-1117:3	2568.805	149.347	27.849	137	133	308	0.701	138	3	2.213	0.452	0.922	220.743	64.631	33.355
1089	MD14_SEM_Sam31-ECS_2021.03.24_s0:0301-1126:3	10870.102	245.497	26.096	235	216	506	0.802	241	3	1.275	0.784	0.943	308.197	86.696	56.164
1090	MD14_SEM_Sam31-ECS_2021.03.24_s0:0302-1131:3	6766.774	360.510	29.599	333	243	659	0.601	357	3	2.545	0.393	0.882	398.277	112.939	132.504
1091	MD14_SEM_Sam31-ECS_2021.03.24_s0:0303-1133:3	8882.658	334.734	62.480	319	180	864	0.691	322	3	1.869	0.535	0.905	415.285	145.844	172.141
1092	MD14_SEM_Sam31-ECS_2021.03.24_s0:0304-1128:3	10545.621	224.890	27.726	206	185	673	0.720	220	3	1.250	0.800	0.905	271.958	88.121	41.188
1093	MD14_SEM_Sam31-ECS_2021.03.24_s0:0305-1124:3	5157.890	341.409	66.513	311	159	519	0.850	340	3	1.200	0.833	0.947	396.022	97.370	139.835
1094	MD14_SEM_Sam31-ECS_2021.03.24_s0:0306-1148:3	16534.993	312.166	54.604	330	148	606	0.662	315	3	1.959	0.510	0.895	335.571	144.272	118.392
1095	MD14_SEM_Sam31-ECS_2021.03.24_s0:0307-1135:3	9822.300	234.105	28.137	210	186	403	0.653	229	3	2.088	0.479	0.914	274.360	66.611	83.123
1096	MD14_SEM_Sam31-ECS_2021.03.24_s0:0308-1132:3	5070.010	324.541	31.668	330	224	486	0.800	322	3	1.334	0.749	0.930	375.828	74.054	24.092
1097	MD14_SEM_Sam31-ECS_2021.03.24_s0:0309-1139:3	7848.376	414.551	92.534	362	257	976	0.651	392	3	1.503	0.665	0.852	504.856	185.867	126.001
1098	MD14_SEM_Sam31-ECS_2021.03.24_s0:0310-1138:3	5036.210	270.305	36.423	266	211	516	0.675	264	3	1.573	0.636	0.883	295.011	94.601	143.887
1099	MD14_SEM_Sam31-ECS_2021.03.24_s0:0311-1151:3	18569.757	387.704	39.997	364	311	730	0.821	378	3	1.238	0.808	0.948	491.705	133.866	58.218
